2025-12-17T13:28:39 | INFO | inventory.cli | App started with db=data/inventory.db
2025-12-17T13:29:09 | INFO | inventory.services | Initialization requested from JSON: 
2025-12-17T13:30:23 | INFO | inventory.cli | App started with db=data/inventory.db
2025-12-17T13:30:31 | INFO | inventory.services | Initialization requested from JSON: 
2025-12-17T13:33:59 | INFO | inventory.cli | App started with db=data/inventory.db
2025-12-17T13:34:05 | INFO | inventory.services | Initialization requested from JSON: 
2025-12-17T13:35:42 | INFO | inventory.cli | App started with db=data/inventory.db
2025-12-17T13:35:48 | INFO | inventory.services | Initialization requested from JSON: 
2025-12-17T13:37:35 | INFO | inventory.cli | App started with db=data/inventory.db
2025-12-17T13:38:05 | INFO | inventory.services | Initialization requested from JSON: data/initial_stock.json
2025-12-17T13:38:05 | INFO | inventory.repository | DB reset + schema created.
2025-12-17T13:38:05 | INFO | inventory.services | Initialization OK. 8 products inserted.
